year_month,lines,late_rate,revenue
2015-01,5641,0.5623116468711221,127458.35
2015-02,5528,0.5616859623733719,125764.61
2015-03,6225,0.5460240963855422,142153.07
2015-04,6209,0.5667579320341439,138391.6
2015-05,5728,0.5638966480446927,131792.19
2015-06,5668,0.5536344389555399,121465.49
2015-07,5718,0.5671563483735572,126313.73
2015-08,6196,0.5490639122014203,137387.48
2015-09,6142,0.5634972321719309,135174.08
2015-10,6061,0.6328988615739977,132231.81
2015-11,5920,0.6179054054054054,131618.31
2015-12,7676,0.6189421573736321,165261.31
2016-01,5496,0.549490538573508,119229.75
2016-02,5536,0.5514812138728323,119325.74
2016-03,6489,0.5643396517182925,150152.8
2016-04,6082,0.5626438671489642,135380.07
2016-05,6905,0.5713251267197683,153892.22
2016-06,6912,0.5528067129629629,157270.28
2016-07,6047,0.5624276500744171,129525.33
2016-08,6425,0.5568871595330739,142861.9
2016-09,6417,0.56210067009506,145837.95
2016-10,6700,0.6267164179104477,149830.82
2016-11,6234,0.6291305742701315,133014.61
2016-12,8378,0.6141083790880878,180486.49
2017-01,6716,0.572066706372841,152149.33
2017-02,5748,0.5802018093249826,124597.51
2017-03,6689,0.5579309313798774,142574.87
2017-04,6328,0.5602085967130215,137058.76
2017-05,6516,0.5566298342541437,139765.65
2017-06,6782,0.5597168976703037,146952.76
2017-07,6290,0.5572337042925278,133925.09
2017-08,7430,0.5577388963660834,168099.15
2017-09,6739,0.5699658703071673,151113.98
2017-10,6863,0.6221768905726359,153678.22
2017-11,6518,0.6350107394906414,141662.27
2017-12,8884,0.6268572714993246,190499.04
